Class,Label,Cluster,Key_Words
Paintings,Warli,0,"['art', 'tribal', 'maharashtra', 'painting', 'traditional', 'folk style', 'rural themes', 'murals', 'cultural heritage']"
Paintings,Warli,1,"['art', 'tribal', 'maharashtra', 'painting', 'traditional', 'folk style', 'rural themes', 'murals', 'cultural heritage']"
Paintings,Kangra,0,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kangra,1,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kangra,2,"['fort', 'himachal pradesh', 'kangra valley', 'history', 'architecture', 'ancient fort', 'earthquake ruins', 'strategic battles', 'maharaja sansar chand']"
Paintings,Kalamkari,2,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,3,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,0,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,Kalamkari,1,"['art', 'textile', 'andhra pradesh', 'painting', 'traditional', 'hand-painted', 'organic dyes', 'Srikalahasti style', 'fabric storytelling']"
Paintings,pattachitra,1,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,pattachitra,0,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,pattachitra,2,"['art', 'painting', 'odisha', 'folk', 'traditional', 'mythology', 'cloth-based scroll', 'storytelling', 'vibrant colors']"
Paintings,Mural,0,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Mural,2,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Mural,1,"['art', 'painting', 'wall', 'mural', 'artist', 'public art', 'fresco', 'large scale', 'visual storytelling']"
Paintings,Portrait,2,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,0,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,1,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Portrait,3,"['art', 'painting', 'portrait', 'canvas', 'artist', 'likeness', 'individual', 'expression', 'visual representation']"
Paintings,Tanjore,2,"['temple', 'art', 'culture', 'South India', 'painting', 'Dravidian architecture', 'Chola dynasty', 'Brihadeeswarar', 'heritage']"
Paintings,Tanjore,0,"['temple', 'art', 'culture', 'South India', 'painting', 'Dravidian architecture', 'Chola dynasty', 'Brihadeeswarar', 'heritage']"
Paintings,Tanjore,1,"['temple', 'art', 'culture', 'South India', 'painting', 'Dravidian architecture', 'Chola dynasty', 'Brihadeeswarar', 'heritage']"
Paintings,Madhubani,2,"['art', 'painting', 'bihar', 'folk', 'traditional', 'Mithila region', 'geometric patterns', 'epic narratives', 'natural dyes']"
Paintings,Madhubani,0,"['art', 'painting', 'bihar', 'folk', 'traditional', 'Mithila region', 'geometric patterns', 'epic narratives', 'natural dyes']"
Paintings,Madhubani,1,"['art', 'painting', 'bihar', 'folk', 'traditional', 'Mithila region', 'geometric patterns', 'epic narratives', 'natural dyes']"
Paintings,Madhubani,3,"['art', 'painting', 'bihar', 'folk', 'traditional', 'Mithila region', 'geometric patterns', 'epic narratives', 'natural dyes']"
Monuments,Charar-E- Sharif,1,"['mosque', 'kashmir', 'sufi', 'architecture', 'history', 'wooden structure', 'muslim shrine', 'Sheikh Noor-ud-din', 'pilgrimage site']"
Monuments,Charar-E- Sharif,3,"['mosque', 'kashmir', 'sufi', 'architecture', 'history', 'wooden structure', 'muslim shrine', 'Sheikh Noor-ud-din', 'pilgrimage site']"
Monuments,Charar-E- Sharif,0,"['mosque', 'kashmir', 'sufi', 'architecture', 'history', 'wooden structure', 'muslim shrine', 'Sheikh Noor-ud-din', 'pilgrimage site']"
Monuments,Charar-E- Sharif,2,"['mosque', 'kashmir', 'sufi', 'architecture', 'history', 'wooden structure', 'muslim shrine', 'Sheikh Noor-ud-din', 'pilgrimage site']"
Monuments,basilica_of_bom_jesus,0,"['church', 'goa', 'christianity', 'history', 'UNESCO', 'Baroque architecture', 'St. Francis Xavier', 'sacred relics', 'pilgrimage site']"
Monuments,basilica_of_bom_jesus,1,"['church', 'goa', 'christianity', 'history', 'UNESCO', 'Baroque architecture', 'St. Francis Xavier', 'sacred relics', 'pilgrimage site']"
Monuments,basilica_of_bom_jesus,3,"['church', 'goa', 'christianity', 'history', 'UNESCO', 'Baroque architecture', 'St. Francis Xavier', 'sacred relics', 'pilgrimage site']"
Monuments,basilica_of_bom_jesus,2,"['church', 'goa', 'christianity', 'history', 'UNESCO', 'Baroque architecture', 'St. Francis Xavier', 'sacred relics', 'pilgrimage site']"
Monuments,victoria memorial,0,"['memorial', 'kolkata', 'architecture', 'history', 'british', 'museum', 'queen victoria', 'british raj', 'landmark']"
Monuments,victoria memorial,2,"['memorial', 'kolkata', 'architecture', 'history', 'british', 'museum', 'queen victoria', 'british raj', 'landmark']"
Monuments,victoria memorial,1,"['memorial', 'kolkata', 'architecture', 'history', 'british', 'museum', 'queen victoria', 'british raj', 'landmark']"
Monuments,lotus_temple,1,"['architecture', 'delhi', 'bahai', 'worship', 'modern', 'flowerlike', 'Baháʼí House of Worship', 'open to all', 'spiritual unity']"
Monuments,lotus_temple,2,"['architecture', 'delhi', 'bahai', 'worship', 'modern', 'flowerlike', 'Baháʼí House of Worship', 'open to all', 'spiritual unity']"
Monuments,lotus_temple,0,"['architecture', 'delhi', 'bahai', 'worship', 'modern', 'flowerlike', 'Baháʼí House of Worship', 'open to all', 'spiritual unity']"
Monuments,golden temple,0,"['sikh', 'amritsar', 'punjab', 'worship', 'architecture', 'Harmandir Sahib', 'holy pool', 'Guru Granth Sahib', 'pilgrimage']"
Monuments,golden temple,3,"['sikh', 'amritsar', 'punjab', 'worship', 'architecture', 'Harmandir Sahib', 'holy pool', 'Guru Granth Sahib', 'pilgrimage']"
Monuments,golden temple,1,"['sikh', 'amritsar', 'punjab', 'worship', 'architecture', 'Harmandir Sahib', 'holy pool', 'Guru Granth Sahib', 'pilgrimage']"
Monuments,golden temple,2,"['sikh', 'amritsar', 'punjab', 'worship', 'architecture', 'Harmandir Sahib', 'holy pool', 'Guru Granth Sahib', 'pilgrimage']"
Monuments,tajmahal,2,"['mausoleum', 'agra', 'mughal', 'architecture', 'unesco', 'ivory-white marble', 'Shah Jahan', 'Mumtaz Mahal', 'symbol of love']"
Monuments,tajmahal,1,"['mausoleum', 'agra', 'mughal', 'architecture', 'unesco', 'ivory-white marble', 'Shah Jahan', 'Mumtaz Mahal', 'symbol of love']"
Monuments,tajmahal,3,"['mausoleum', 'agra', 'mughal', 'architecture', 'unesco', 'ivory-white marble', 'Shah Jahan', 'Mumtaz Mahal', 'symbol of love']"
Monuments,tajmahal,0,"['mausoleum', 'agra', 'mughal', 'architecture', 'unesco', 'ivory-white marble', 'Shah Jahan', 'Mumtaz Mahal', 'symbol of love']"
Monuments,charminar,3,"['mosque', 'hyderabad', 'monument', 'architecture', 'landmark', 'four minarets', 'global icon', 'Indo-Islamic architecture', 'city symbol']"
Monuments,charminar,0,"['mosque', 'hyderabad', 'monument', 'architecture', 'landmark', 'four minarets', 'global icon', 'Indo-Islamic architecture', 'city symbol']"
Monuments,charminar,1,"['mosque', 'hyderabad', 'monument', 'architecture', 'landmark', 'four minarets', 'global icon', 'Indo-Islamic architecture', 'city symbol']"
Monuments,charminar,2,"['mosque', 'hyderabad', 'monument', 'architecture', 'landmark', 'four minarets', 'global icon', 'Indo-Islamic architecture', 'city symbol']"
Monuments,Chhota_Imambara,0,"['mosque', 'lucknow', 'nawab', 'architecture', 'history', 'Shia Muslims', 'congregation hall', 'festivals', 'illumination']"
Monuments,Chhota_Imambara,3,"['mosque', 'lucknow', 'nawab', 'architecture', 'history', 'Shia Muslims', 'congregation hall', 'festivals', 'illumination']"
Monuments,Chhota_Imambara,1,"['mosque', 'lucknow', 'nawab', 'architecture', 'history', 'Shia Muslims', 'congregation hall', 'festivals', 'illumination']"
Monuments,Chhota_Imambara,2,"['mosque', 'lucknow', 'nawab', 'architecture', 'history', 'Shia Muslims', 'congregation hall', 'festivals', 'illumination']"
Monuments,Ellora Caves,2,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'rock-cut temples', 'Buddhist', 'Hindu', 'Jain', 'monolithic']"
Monuments,Ellora Caves,0,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'rock-cut temples', 'Buddhist', 'Hindu', 'Jain', 'monolithic']"
Monuments,Ellora Caves,3,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'rock-cut temples', 'Buddhist', 'Hindu', 'Jain', 'monolithic']"
Monuments,Ellora Caves,1,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'rock-cut temples', 'Buddhist', 'Hindu', 'Jain', 'monolithic']"
Monuments,Gateway of India,3,"['monument', 'mumbai', 'gateway', 'architecture', 'history', 'basalt arch', 'Mumbai Harbor', '20th-century', 'Indo-Saracenic style']"
Monuments,Gateway of India,0,"['monument', 'mumbai', 'gateway', 'architecture', 'history', 'basalt arch', 'Mumbai Harbor', '20th-century', 'Indo-Saracenic style']"
Monuments,Gateway of India,2,"['monument', 'mumbai', 'gateway', 'architecture', 'history', 'basalt arch', 'Mumbai Harbor', '20th-century', 'Indo-Saracenic style']"
Monuments,Gateway of India,1,"['monument', 'mumbai', 'gateway', 'architecture', 'history', 'basalt arch', 'Mumbai Harbor', '20th-century', 'Indo-Saracenic style']"
Monuments,Humayun_s Tomb,2,"['tomb', 'delhi', 'mughal', 'architecture', 'unesco', 'garden tomb', 'persian influence', 'prototype for Taj Mahal', 'indian subcontinent']"
Monuments,Humayun_s Tomb,0,"['tomb', 'delhi', 'mughal', 'architecture', 'unesco', 'garden tomb', 'persian influence', 'prototype for Taj Mahal', 'indian subcontinent']"
Monuments,Humayun_s Tomb,1,"['tomb', 'delhi', 'mughal', 'architecture', 'unesco', 'garden tomb', 'persian influence', 'prototype for Taj Mahal', 'indian subcontinent']"
Monuments,Khajuraho,0,"['temple', 'erotic', 'madhya pradesh', 'sculpture', 'architecture', 'Nagara style', 'medieval', 'Hinduism and Jainism', 'Kandariya Mahadeva']"
Monuments,Khajuraho,2,"['temple', 'erotic', 'madhya pradesh', 'sculpture', 'architecture', 'Nagara style', 'medieval', 'Hinduism and Jainism', 'Kandariya Mahadeva']"
Monuments,Khajuraho,1,"['temple', 'erotic', 'madhya pradesh', 'sculpture', 'architecture', 'Nagara style', 'medieval', 'Hinduism and Jainism', 'Kandariya Mahadeva']"
Monuments,Khajuraho,3,"['temple', 'erotic', 'madhya pradesh', 'sculpture', 'architecture', 'Nagara style', 'medieval', 'Hinduism and Jainism', 'Kandariya Mahadeva']"
Monuments,Sun Temple Konark,0,"['temple', 'odisha', 'sun god', 'sculpture', 'architecture', 'chariot shape', 'Kalinga architecture', 'world heritage', 'astronomy']"
Monuments,Sun Temple Konark,2,"['temple', 'odisha', 'sun god', 'sculpture', 'architecture', 'chariot shape', 'Kalinga architecture', 'world heritage', 'astronomy']"
Monuments,Sun Temple Konark,1,"['temple', 'odisha', 'sun god', 'sculpture', 'architecture', 'chariot shape', 'Kalinga architecture', 'world heritage', 'astronomy']"
Monuments,mysore_palace,0,"['palace', 'mysore', 'karnataka', 'architecture', 'royalty', 'Wodeyar dynasty', 'dussehra', 'indo-saracenic', 'chamundi hills']"
Monuments,mysore_palace,1,"['palace', 'mysore', 'karnataka', 'architecture', 'royalty', 'Wodeyar dynasty', 'dussehra', 'indo-saracenic', 'chamundi hills']"
Monuments,mysore_palace,2,"['palace', 'mysore', 'karnataka', 'architecture', 'royalty', 'Wodeyar dynasty', 'dussehra', 'indo-saracenic', 'chamundi hills']"
Monuments,qutub_minar,2,"['minaret', 'delhi', 'monument', 'history', 'architecture', 'victory tower', 'islamic calligraphy', 'red sandstone', 'world heritage']"
Monuments,qutub_minar,0,"['minaret', 'delhi', 'monument', 'history', 'architecture', 'victory tower', 'islamic calligraphy', 'red sandstone', 'world heritage']"
Monuments,qutub_minar,1,"['minaret', 'delhi', 'monument', 'history', 'architecture', 'victory tower', 'islamic calligraphy', 'red sandstone', 'world heritage']"
Monuments,iron_pillar,1,"['pillar', 'delhi', 'qutub minar', 'iron', 'history', 'corrosion resistance', 'metallurgical curiosity', 'Sanskrit inscriptions', 'gupta empire']"
Monuments,iron_pillar,0,"['pillar', 'delhi', 'qutub minar', 'iron', 'history', 'corrosion resistance', 'metallurgical curiosity', 'Sanskrit inscriptions', 'gupta empire']"
Monuments,iron_pillar,2,"['pillar', 'delhi', 'qutub minar', 'iron', 'history', 'corrosion resistance', 'metallurgical curiosity', 'Sanskrit inscriptions', 'gupta empire']"
Monuments,India gate pics,1,"['war memorial', 'delhi', 'architecture', 'india', 'history', 'Amar Jawan Jyoti', 'WWI memorial', 'rajpath', 'an eternal flame', 'national monument', 'all india war memorial', 'patriotism']"
Monuments,India gate pics,0,"['war memorial', 'delhi', 'architecture', 'india', 'history', 'Amar Jawan Jyoti', 'WWI memorial', 'rajpath', 'an eternal flame', 'national monument', 'all india war memorial', 'patriotism']"
Monuments,India gate pics,2,"['war memorial', 'delhi', 'architecture', 'india', 'history', 'Amar Jawan Jyoti', 'WWI memorial', 'rajpath', 'an eternal flame', 'national monument', 'all india war memorial', 'patriotism']"
Monuments,Fatehpur Sikri,3,"['fort', 'agra', 'mughal', 'architecture', 'unesco', 'red sandstone', 'Akbar', 'abandoned city', 'buland darwaza']"
Monuments,Fatehpur Sikri,1,"['fort', 'agra', 'mughal', 'architecture', 'unesco', 'red sandstone', 'Akbar', 'abandoned city', 'buland darwaza']"
Monuments,Fatehpur Sikri,0,"['fort', 'agra', 'mughal', 'architecture', 'unesco', 'red sandstone', 'Akbar', 'abandoned city', 'buland darwaza']"
Monuments,Fatehpur Sikri,2,"['fort', 'agra', 'mughal', 'architecture', 'unesco', 'red sandstone', 'Akbar', 'abandoned city', 'buland darwaza']"
Monuments,alai_minar,2,"['architecture', 'delhi', 'unfinished', 'monument', 'history', 'Ala-ud-din Khilji', 'brick minaret', 'intended grandeur', 'Qutub complex']"
Monuments,alai_minar,1,"['architecture', 'delhi', 'unfinished', 'monument', 'history', 'Ala-ud-din Khilji', 'brick minaret', 'intended grandeur', 'Qutub complex']"
Monuments,alai_minar,0,"['architecture', 'delhi', 'unfinished', 'monument', 'history', 'Ala-ud-din Khilji', 'brick minaret', 'intended grandeur', 'Qutub complex']"
Monuments,hawa mahal pics,1,"['architecture', 'jaipur', 'rajasthan', 'pink city', 'palace', 'wind palace', 'screen wall', 'royal women', 'red and pink sandstone']"
Monuments,hawa mahal pics,0,"['architecture', 'jaipur', 'rajasthan', 'pink city', 'palace', 'wind palace', 'screen wall', 'royal women', 'red and pink sandstone']"
Monuments,hawa mahal pics,2,"['architecture', 'jaipur', 'rajasthan', 'pink city', 'palace', 'wind palace', 'screen wall', 'royal women', 'red and pink sandstone']"
Monuments,hawa mahal pics,3,"['architecture', 'jaipur', 'rajasthan', 'pink city', 'palace', 'wind palace', 'screen wall', 'royal women', 'red and pink sandstone']"
Monuments,Ajanta Caves,2,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'buddhist art', 'rock-cut', 'murals', 'ancient']"
Monuments,Ajanta Caves,3,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'buddhist art', 'rock-cut', 'murals', 'ancient']"
Monuments,Ajanta Caves,1,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'buddhist art', 'rock-cut', 'murals', 'ancient']"
Monuments,Ajanta Caves,0,"['cave', 'maharashtra', 'unesco', 'sculpture', 'architecture', 'buddhist art', 'rock-cut', 'murals', 'ancient']"
Monuments,jamali_kamali_tomb,1,"['tomb', 'delhi', 'architecture', 'history', 'jamali kamali', 'mosque', 'mughal era', 'poet and sage', 'sufi saints']"
Monuments,jamali_kamali_tomb,2,"['tomb', 'delhi', 'architecture', 'history', 'jamali kamali', 'mosque', 'mughal era', 'poet and sage', 'sufi saints']"
Monuments,jamali_kamali_tomb,0,"['tomb', 'delhi', 'architecture', 'history', 'jamali kamali', 'mosque', 'mughal era', 'poet and sage', 'sufi saints']"
Monuments,alai_darwaza,0,"['architecture', 'delhi', 'monument', 'gateway', 'mughal', 'entrance', 'Qutub complex', 'red sandstone', 'marble decorations']"
Monuments,alai_darwaza,1,"['architecture', 'delhi', 'monument', 'gateway', 'mughal', 'entrance', 'Qutub complex', 'red sandstone', 'marble decorations']"
Monuments,alai_darwaza,2,"['architecture', 'delhi', 'monument', 'gateway', 'mughal', 'entrance', 'Qutub complex', 'red sandstone', 'marble decorations']"
Monuments,tanjavur temple,1,"['temple', 'tamil nadu', 'architecture', 'chola', 'unesco', 'brihadisvara temple', 'great living chola temples', 'dravidian architecture', 'vimanam']"
Monuments,tanjavur temple,0,"['temple', 'tamil nadu', 'architecture', 'chola', 'unesco', 'brihadisvara temple', 'great living chola temples', 'dravidian architecture', 'vimanam']"
Monuments,tanjavur temple,3,"['temple', 'tamil nadu', 'architecture', 'chola', 'unesco', 'brihadisvara temple', 'great living chola temples', 'dravidian architecture', 'vimanam']"
Monuments,tanjavur temple,2,"['temple', 'tamil nadu', 'architecture', 'chola', 'unesco', 'brihadisvara temple', 'great living chola temples', 'dravidian architecture', 'vimanam']"
Dance,kuchipudi,2,"['dance', 'andhra pradesh', 'classical', 'performance', 'tradition', 'vocal narrative', 'expressive eyes', 'quick footwork', 'drama']"
Dance,kuchipudi,0,"['dance', 'andhra pradesh', 'classical', 'performance', 'tradition', 'vocal narrative', 'expressive eyes', 'quick footwork', 'drama']"
Dance,kuchipudi,4,"['dance', 'andhra pradesh', 'classical', 'performance', 'tradition', 'vocal narrative', 'expressive eyes', 'quick footwork', 'drama']"
Dance,kuchipudi,1,"['dance', 'andhra pradesh', 'classical', 'performance', 'tradition', 'vocal narrative', 'expressive eyes', 'quick footwork', 'drama']"
Dance,kuchipudi,3,"['dance', 'andhra pradesh', 'classical', 'performance', 'tradition', 'vocal narrative', 'expressive eyes', 'quick footwork', 'drama']"
Dance,kathak,0,"['dance', 'uttar pradesh', 'classical', 'performance', 'tradition', 'storytelling', 'ghungroos', 'spins', 'expressions']"
Dance,kathak,3,"['dance', 'uttar pradesh', 'classical', 'performance', 'tradition', 'storytelling', 'ghungroos', 'spins', 'expressions']"
Dance,kathak,2,"['dance', 'uttar pradesh', 'classical', 'performance', 'tradition', 'storytelling', 'ghungroos', 'spins', 'expressions']"
Dance,kathak,1,"['dance', 'uttar pradesh', 'classical', 'performance', 'tradition', 'storytelling', 'ghungroos', 'spins', 'expressions']"
Dance,bharatanatyam,3,"['dance', 'classical', 'Tamil Nadu', 'performance', 'tradition', 'nritta', 'nritya', 'abhinaya', 'natya shastra']"
Dance,bharatanatyam,2,"['dance', 'classical', 'Tamil Nadu', 'performance', 'tradition', 'nritta', 'nritya', 'abhinaya', 'natya shastra']"
Dance,bharatanatyam,1,"['dance', 'classical', 'Tamil Nadu', 'performance', 'tradition', 'nritta', 'nritya', 'abhinaya', 'natya shastra']"
Dance,bharatanatyam,0,"['dance', 'classical', 'Tamil Nadu', 'performance', 'tradition', 'nritta', 'nritya', 'abhinaya', 'natya shastra']"
Dance,kathakali,0,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'story play', 'elaborate costumes', 'facial makeup', 'gesture language']"
Dance,kathakali,2,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'story play', 'elaborate costumes', 'facial makeup', 'gesture language']"
Dance,kathakali,1,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'story play', 'elaborate costumes', 'facial makeup', 'gesture language']"
Dance,odissi,3,"['dance', 'odisha', 'classical', 'performance', 'tradition', 'tribhangi posture', 'mudras', 'lyrical', 'spiritual']"
Dance,odissi,0,"['dance', 'odisha', 'classical', 'performance', 'tradition', 'tribhangi posture', 'mudras', 'lyrical', 'spiritual']"
Dance,odissi,2,"['dance', 'odisha', 'classical', 'performance', 'tradition', 'tribhangi posture', 'mudras', 'lyrical', 'spiritual']"
Dance,odissi,1,"['dance', 'odisha', 'classical', 'performance', 'tradition', 'tribhangi posture', 'mudras', 'lyrical', 'spiritual']"
Dance,mohiniyattam,2,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'lasya', 'feminine', 'graceful movements', 'vishnu']"
Dance,mohiniyattam,1,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'lasya', 'feminine', 'graceful movements', 'vishnu']"
Dance,mohiniyattam,3,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'lasya', 'feminine', 'graceful movements', 'vishnu']"
Dance,mohiniyattam,0,"['dance', 'kerala', 'classical', 'performance', 'tradition', 'lasya', 'feminine', 'graceful movements', 'vishnu']"
Dance,sattriya,1,"['dance', 'assam', 'classical', 'performance', 'tradition', 'vaishnavism', 'monastic origins', 'ritual dance', 'bhakti movement']"
Dance,sattriya,0,"['dance', 'assam', 'classical', 'performance', 'tradition', 'vaishnavism', 'monastic origins', 'ritual dance', 'bhakti movement']"
Dance,sattriya,2,"['dance', 'assam', 'classical', 'performance', 'tradition', 'vaishnavism', 'monastic origins', 'ritual dance', 'bhakti movement']"
Dance,manipuri,0,"['dance', 'northeast', 'manipur', 'traditional', 'culture', 'ritualistic dances', 'spiritual experience', 'classical Indian dance']"
Dance,manipuri,1,"['dance', 'northeast', 'manipur', 'traditional', 'culture', 'ritualistic dances', 'spiritual experience', 'classical Indian dance']"
Dance,manipuri,2,"['dance', 'northeast', 'manipur', 'traditional', 'culture', 'ritualistic dances', 'spiritual experience', 'classical Indian dance']"
Dance,manipuri,3,"['dance', 'northeast', 'manipur', 'traditional', 'culture', 'ritualistic dances', 'spiritual experience', 'classical Indian dance']"
